UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
P,7,2014,999,318576955,156892589,161684366,122202616,124343366,20174136,21966971,1998132,1958987,8207304,9010097,375954,362580,3934447,4042365,125687608,127903681,21875828,23764695,3250966,3276912,9656726,10465855,737612,729354,129017940,134437167,97609638,100356927,18897869,20639369,1161863,1193200,7936374,8737742,276069,270052,3136127,3239877,100384847,103206194,20243544,22069833,2066689,2164881,9164559,9970883,560841,560365,27874649,27247199,24592978,23986439,1276267,1327602,836269,765787,270930,272355,99885,92528,798320,802488,25302761,24697487,1632284,1694862,1184277,1112031,492167,494972,176771,168989
P,7,2014,0,3954787,2024511,1930276,1463610,1390132,304640,295751,32965,31685,97250,91701,5761,5476,120285,115531,1574432,1496541,369160,358632,57337,54972,141513,133531,14384,13629,1509027,1436426,1023128,968418,276283,268596,17477,16705,91823,86481,4013,3789,96303,92437,1112298,1053963,328778,319839,33543,31995,128669,121231,10350,9783,515484,493850,440482,421714,28357,27155,15488,14980,5427,5220,1748,1687,23982,23094,462134,442578,40382,38793,23794,22977,12844,12300,4034,3846
P,7,2014,1,3948891,2018511,1930380,1456276,1389334,302934,294402,32729,31430,101756,95762,5819,5522,118997,113930,1565763,1494091,366247,355762,56920,54679,146027,137530,14548,13701,1505970,1436457,1017086,966371,275408,267766,17649,16858,96462,90553,4100,3829,95265,91080,1105150,1050500,326877,317670,33604,32162,133372,125294,10505,9791,512541,493923,439190,422963,27526,26636,15080,14572,5294,5209,1719,1693,23732,22850,460613,443591,39370,38092,23316,22517,12655,12236,4043,3910
P,7,2014,2,3958711,2023752,1934959,1464905,1397113,303629,294275,33388,32054,98891,93967,5610,5354,117329,112196,1572824,1500295,366206,354516,57592,55216,142154,134980,14135,13490,1506973,1437350,1021607,969946,276440,268162,17653,17024,93676,88981,3897,3713,93700,89524,1108188,1052663,327208,317059,33580,32231,129701,123058,10142,9651,516779,497609,443298,427167,27189,26113,15735,15030,5215,4986,1713,1641,23629,22672,464636,447632,38998,37457,24012,22985,12453,11922,3993,3839
P,7,2014,3,4005928,2049250,1956678,1490823,1419140,305279,296218,32286,31171,97704,92980,5577,5266,117581,111903,1599028,1522039,367790,356106,56798,54665,140928,133750,14202,13374,1518464,1445380,1031120,977081,279366,270676,17933,17066,92612,88115,3879,3636,93554,88806,1117597,1059100,329994,319031,33999,32427,128448,121879,10166,9517,530786,511298,459703,442059,25913,25542,14353,14105,5092,4865,1698,1630,24027,23097,481431,462939,37796,37075,22799,22238,12480,11871,4036,3857
P,7,2014,4,4004032,2043524,1960508,1476438,1410807,306000,297251,32749,31872,103362,99457,5898,5741,119077,115380,1586146,1516887,369792,359664,57180,55820,146973,141214,14412,13906,1516146,1451812,1024689,975014,277939,270124,17310,17124,97550,93963,3981,3844,94677,91743,1112329,1059745,329541,320463,33173,32831,133688,128629,10218,9770,527378,508696,451749,435793,28061,27127,15439,14748,5812,5494,1917,1897,24400,23637,473817,457142,40251,39201,24007,22989,13285,12585,4194,4136
P,7,2014,5,4004576,2042790,1961786,1475346,1410101,308947,301126,32811,31755,103162,100208,6065,6008,116459,112588,1582286,1513641,371575,362353,56706,54435,145620,140813,14338,14028,1521746,1459687,1029915,981065,280452,273369,17385,16928,97096,94489,4044,4029,92854,89807,1115594,1064069,331345,323178,32941,31617,132370,128319,10124,9921,521044,502099,445431,429036,28495,27757,15426,14827,6066,5719,2021,1979,23605,22781,466692,449572,40230,39175,23765,22818,13250,12494,4214,4107
P,7,2014,6,4133372,2109355,2024017,1526183,1456832,318767,311021,34114,32884,107312,104141,6305,6024,116674,113115,1633222,1560605,381421,372834,57970,56011,149839,144651,14844,13962,1570371,1506962,1063641,1013893,289725,282918,18019,17577,101400,98386,4245,3983,93341,90205,1149651,1096992,340914,333279,33625,32538,136849,132046,10500,9822,538984,517055,462542,442939,29042,28103,16095,15307,5912,5755,2060,2041,23333,22910,483571,463613,40507,39555,24345,23473,12990,12605,4344,4140
P,7,2014,7,4152666,2121426,2031240,1541616,1470751,319649,309403,34644,33126,106121,102094,6241,6095,113155,109771,1645448,1571269,380133,368702,58176,56040,147414,141532,14524,14075,1582611,1513444,1078753,1025612,291039,281974,18054,17729,100114,96470,4225,4057,90426,87602,1162136,1106160,340342,330423,33480,32620,134427,129302,10324,9904,538815,517796,462863,445139,28610,27429,16590,15397,6007,5624,2016,2038,22729,22169,483312,465109,39791,38279,24696,23420,12987,12230,4200,4171
P,7,2014,8,4118349,2104331,2014018,1540087,1465417,310700,303512,33915,32703,104935,102147,6112,5857,108582,104382,1639655,1561116,367886,359082,56952,54751,144945,140096,14033,13404,1576682,1507284,1084700,1028467,283529,276960,18043,17572,99171,96831,4117,3939,87122,83515,1164903,1105347,330422,322511,33171,31975,132680,128463,9981,9465,527649,506734,455387,436950,27171,26552,15872,15131,5764,5316,1995,1918,21460,20867,474752,455769,37464,36571,23781,22776,12265,11633,4052,3939
