UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
P,7,2012,999,314167558,154667711,159499847,121190552,123407740,19747186,21538312,1949905,1908394,7724780,8485810,362381,348484,3692907,3811107,124452760,126754593,21318210,23209648,3162387,3187359,9078571,9851553,707028,699352,127843374,133357598,97485205,100364204,18537482,20275981,1142606,1172587,7464230,8224625,266008,259500,2947843,3060701,100086094,103047439,19782021,21608725,2024440,2122585,8611301,9381836,538171,538125,26824337,26142249,23705347,23043536,1209704,1262331,807299,735807,260550,261185,96373,88984,745064,750406,24366666,23707154,1536189,1600923,1137947,1064774,467270,469717,168857,161227
P,7,2012,0,3926570,2007742,1918828,1458795,1391037,301639,292284,33336,31971,91549,86469,5552,5266,116871,111801,1566355,1493900,364154,352435,57517,55113,134390,127163,14025,13357,1495645,1426138,1019777,968288,274656,266403,17671,17028,86355,81507,3847,3642,93339,89270,1106091,1050821,325432,315322,33611,32256,121961,115269,10040,9531,512097,492690,439018,422749,26983,25881,15665,14943,5194,4962,1705,1624,23532,22531,460264,443079,38722,37113,23906,22857,12429,11894,3985,3826
P,7,2012,1,3977549,2035213,1942336,1485213,1413288,303223,294142,32230,31115,91786,87031,5552,5200,117209,111560,1593117,1515914,365662,353939,56732,54586,134692,127529,14130,13269,1508591,1435659,1029295,975386,277512,268866,17943,17071,86706,82185,3856,3579,93279,88572,1115567,1057235,328134,317221,34029,32440,122228,115681,10097,9421,526622,506677,455918,437902,25711,25276,14287,14044,5080,4846,1696,1621,23930,22988,477550,458679,37528,36718,22703,22146,12464,11848,4033,3848
P,7,2012,2,3978925,2031333,1947592,1471273,1405154,304162,295250,32656,31830,98624,94597,5856,5645,118762,115116,1580728,1511024,367878,357603,57065,55775,141986,136124,14338,13783,1508000,1443328,1023200,973325,276268,268414,17304,17140,92828,89130,3939,3765,94461,91554,1110682,1057919,327864,318751,33177,32864,128716,123568,10138,9664,523333,504264,448073,431829,27894,26836,15352,14690,5796,5467,1917,1880,24301,23562,470046,453105,40014,38852,23888,22911,13270,12556,4200,4119
P,7,2012,3,3981531,2031550,1949981,1470402,1404708,307208,299229,32712,31725,99052,96092,5994,5925,116182,112302,1577116,1508010,369755,360364,56581,54381,141310,136500,14239,13913,1514531,1452094,1028627,979451,278865,271723,17372,16942,93002,90397,3973,3952,92692,89629,1114190,1062321,329761,321528,32944,31643,128077,124029,10022,9809,517019,497887,441775,425257,28343,27506,15340,14783,6050,5695,2021,1973,23490,22673,462926,445689,39994,38836,23637,22738,13233,12471,4217,4104
P,7,2012,4,4111490,2098502,2012988,1521252,1451543,317087,309224,34036,32850,103496,100527,6228,5964,116403,112880,1628074,1555124,379658,370938,57880,55964,145814,140886,14739,13877,1563542,1500052,1062380,1012338,288222,281330,18009,17573,97590,94793,4175,3925,93166,90093,1148262,1095360,339408,331695,33629,32555,132833,128308,10403,9738,534960,512936,458872,439205,28865,27894,16027,15277,5906,5734,2053,2039,23237,22787,479812,459764,40250,39243,24251,23409,12981,12578,4336,4139
P,7,2012,5,4131049,2110631,2020418,1536582,1465458,318002,307590,34601,33076,102479,98708,6175,6037,112792,109549,1640120,1565793,378370,366799,58107,55979,143514,138003,14414,13995,1575980,1506849,1077539,1024131,289583,280402,18054,17712,96470,93100,4161,4008,90173,87496,1160731,1104605,338864,328858,33488,32621,130526,125795,10215,9834,534651,513569,459043,441327,28419,27188,16547,15364,6009,5608,2014,2029,22619,22053,479389,461188,39506,37941,24619,23358,12988,12208,4199,4161
P,7,2012,6,4096631,2093845,2002786,1535072,1459860,309070,301602,33866,32648,101527,98806,6057,5789,108253,104081,1634368,1555305,366132,357042,56872,54653,141318,136583,13950,13319,1570595,1500685,1083657,1027068,282139,275327,18047,17547,95764,93502,4067,3875,86921,83366,1163709,1103837,329008,320866,33179,31952,129065,124971,9904,9385,523250,502101,451415,432792,26931,26275,15819,15101,5763,5304,1990,1914,21332,20715,470659,451468,37124,36176,23693,22701,12253,11612,4046,3934
P,7,2012,7,4084175,2086089,1998086,1535006,1460863,305458,296123,33473,32722,102455,101838,6033,5809,103664,100731,1629858,1552863,359384,349074,56126,54533,140845,138634,13590,13099,1573773,1507370,1092034,1037162,279423,270834,17997,17565,96930,96648,4095,4018,83294,81143,1168587,1111541,323706,314491,32926,31932,129142,127602,9678,9458,512316,490716,442972,423701,26035,25289,15476,15157,5525,5190,1938,1791,20370,19588,461271,441322,35678,34583,23200,22601,11703,11032,3912,3641
P,7,2012,8,4092559,2088714,2003845,1544689,1471882,303098,294313,32651,31989,102400,102645,5809,5545,100067,97471,1636258,1561057,354446,344942,54823,53615,139661,138444,13207,12709,1589435,1522113,1111690,1054663,278136,270069,17887,17304,97024,97588,4024,3814,80674,78675,1185847,1126892,320444,311882,32717,31908,128340,127682,9541,9103,499279,481732,432999,417219,24962,24244,14764,14685,5376,5057,1785,1731,19393,18796,450411,434165,34002,33060,22106,21707,11321,10762,3666,3606
