UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
P,7,2017,999,325206030,160235248,164970782,123703668,125724397,20802635,22611715,2069351,2034683,8958072,9817640,398113,385049,4303409,4397298,127529287,129612509,22706563,24604586,3382516,3410804,10552208,11411623,784746,775691,130627785,135976210,97635417,100244905,19423707,21183148,1186248,1220825,8669583,9527848,292396,286705,3420434,3512779,100673894,103347012,20924014,22762832,2123844,2223700,10020280,10877751,595741,594752,29607463,28994572,26068251,25479492,1378928,1428567,883103,813858,288489,289792,105717,98344,882975,884519,26855393,26265497,1782549,1841754,1258672,1187104,531928,533872,189005,180939
P,7,2017,0,3893990,1991761,1902229,1437198,1367851,298439,290177,32010,30764,98726,92847,5879,5588,119509,115002,1547300,1473778,362907,352762,55957,53716,142616,134697,14295,13618,1476732,1407520,996725,945157,270792,263447,16601,15826,93026,87394,4030,3812,95558,91884,1085183,1030183,323230,314349,32271,30793,129524,122177,10228,9723,515029,494709,440473,422694,27647,26730,15409,14938,5700,5453,1849,1776,23951,23118,462117,443595,39677,38413,23686,22923,13092,12520,4067,3895
P,7,2017,1,3972711,2030158,1942553,1462605,1393194,304123,297036,32583,31473,103414,98072,6014,5808,121419,116970,1574413,1500887,369602,360685,56906,54850,148080,140636,14563,13992,1500510,1433241,1009118,957560,276052,269830,16743,16087,97538,92490,4122,3978,96937,93296,1098796,1043845,329241,321510,32593,31287,134661,127836,10415,9999,529648,509312,453487,435634,28071,27206,15840,15386,5876,5582,1892,1830,24482,23674,475617,457042,40361,39175,24313,23563,13419,12800,4148,3993
P,7,2017,2,4020045,2055454,1964591,1476049,1406390,308100,299791,32753,31680,109964,103423,6082,5857,122506,117450,1588822,1514523,374051,363458,57286,55151,155131,146404,14739,14035,1526307,1455220,1023342,970961,279336,272056,17094,16354,104243,97930,4235,4049,98057,93870,1114007,1057765,332911,323772,33181,31668,141969,133758,10656,10110,529147,509371,452707,435429,28764,27735,15659,15326,5721,5493,1847,1808,24449,23580,474815,456758,41140,39686,24105,23483,13162,12646,4083,3925
P,7,2017,3,4006946,2050601,1956345,1475257,1401241,307642,299349,33056,31807,107684,102148,5879,5666,121083,116134,1586721,1508149,372317,362409,57477,55151,152623,144412,14591,13875,1525788,1453342,1026248,971239,278894,271766,17440,16699,102178,96888,4126,3954,96902,92796,1115868,1057049,331403,322999,33483,31970,139693,132064,10552,10010,524813,503003,449009,430002,28748,27583,15616,15108,5506,5260,1753,1712,24181,23338,470853,451100,40914,39410,23994,23181,12930,12348,4039,3865
P,7,2017,4,3997280,2042956,1954324,1467634,1400161,306205,298156,32839,31556,110600,104275,5924,5647,119754,114529,1577735,1505407,369706,359698,57077,54847,155463,146481,14738,13884,1521423,1451539,1020216,969136,278312,271127,17628,16847,105254,99031,4193,3933,95820,91465,1108698,1053549,329816,321042,33567,32128,142751,134202,10684,9955,521533,502785,447418,431025,27893,27029,15211,14709,5346,5244,1731,1714,23934,23064,469037,451858,39890,38656,23510,22719,12712,12279,4054,3929
P,7,2017,5,4003452,2046169,1957283,1475667,1407855,306925,297953,33509,32205,106325,101007,5694,5473,118049,112790,1584174,1511521,369738,358352,57800,55416,150074,142464,14286,13675,1520534,1450814,1024375,972622,279349,271447,17636,17006,101056,95977,3966,3816,94152,89946,1111292,1055658,330158,320378,33554,32205,137553,130493,10279,9822,525635,506469,451292,435233,27576,26506,15873,15199,5269,5030,1728,1657,23897,22844,472882,455863,39580,37974,24246,23211,12521,11971,4007,3853
P,7,2017,6,4048018,2070343,1977675,1501306,1429612,308638,299748,32417,31328,104091,99114,5651,5388,118240,112485,1610052,1532989,371399,359814,57012,54881,147723,140295,14328,13553,1530786,1457646,1033731,979684,282286,273777,17926,17046,98965,94199,3941,3743,93937,89197,1120492,1061997,332957,322171,33988,32403,135192,128369,10284,9686,539557,520029,467575,449928,26352,25971,14491,14282,5126,4915,1710,1645,24303,23288,489560,470992,38442,37643,23024,22478,12531,11926,4044,3867
P,7,2017,7,4044139,2063821,1980318,1486953,1420933,309292,300605,32861,32034,109103,105022,5994,5831,119618,115893,1597119,1527442,373300,363210,57364,56036,153026,147097,14554,14047,1527531,1463054,1027197,977449,280757,273044,17302,17125,103277,99478,4060,3923,94938,92035,1115032,1062398,332368,323413,33140,32813,139707,134454,10339,9899,536290,517264,459756,443484,28535,27561,15559,14909,5826,5544,1934,1908,24680,23858,482087,465044,40932,39797,24224,23223,13319,12643,4215,4148
P,7,2017,8,4042924,2062510,1980414,1485768,1419835,312120,304370,32906,31908,108560,105217,6158,6067,116998,113017,1593158,1523736,374988,365779,56875,54627,151318,146078,14472,14123,1532534,1469958,1032253,983258,283182,276183,17380,16947,102489,99453,4128,4081,93102,90036,1118110,1066434,334088,326010,32926,31618,138039,133534,10247,10008,529976,510456,453515,436577,28938,28187,15526,14961,6071,5764,2030,1986,23896,22981,475048,457302,40900,39769,23949,23009,13279,12544,4225,4115
P,7,2017,9,4170813,2128762,2042051,1536518,1466404,321879,314260,34244,33013,112578,108718,6376,6093,117167,113563,1643980,1570556,384757,376266,58154,56204,155379,149474,14955,14063,1580741,1516585,1065773,1015919,292408,285688,18018,17580,106655,102945,4312,4044,93575,90409,1151961,1099165,343613,336054,33605,32533,142364,136838,10610,9914,548021,525466,470745,450485,29471,28572,16226,15433,5923,5773,2064,2049,23592,23154,492019,471391,41144,40212,24549,23671,13015,12636,4345,4149
P,7,2017,10,4190286,2140695,2049591,1551988,1480517,322816,312711,34819,33236,111188,106604,6306,6196,113578,110327,1656186,1581524,383515,372283,58412,56243,152692,146294,14610,14216,1592445,1523010,1080660,1027535,293695,284818,18057,17728,105164,100960,4285,4149,90584,87820,1164157,1108250,343008,333286,33467,32606,139669,134024,10403,10033,548250,526581,471328,452982,29121,27893,16762,15508,6024,5644,2021,2047,22994,22507,492029,473274,40507,38997,24945,23637,13023,12270,4207,4183
P,7,2017,11,4156294,2123508,2032786,1550277,1475406,313987,306870,34095,32796,109919,106830,6187,5978,109043,104906,1650244,1571556,371432,362693,57213,54934,150111,145032,14138,13558,1586192,1516993,1086349,1030292,286222,279894,18042,17562,104130,101482,4179,4045,87270,83718,1166653,1107322,333125,325461,33158,31955,137807,133338,10072,9603,537316,515793,463928,445114,27765,26976,16053,15234,5789,5348,2008,1933,21773,21188,483591,464234,38307,37232,24055,22979,12304,11694,4066,3955
P,7,2017,12,4143944,2115480,2028464,1549956,1476609,310425,301513,33703,32864,110804,109951,6167,6013,104425,101514,1645479,1569285,364746,354818,56483,54784,149518,147153,13772,13364,1588812,1523485,1094331,1039996,283513,275506,17976,17569,105240,104713,4201,4195,83551,81506,1171076,1114651,327802,319199,32881,31916,137749,136050,9832,9696,526668,504979,455625,436613,26912,26007,15727,15295,5564,5238,1966,1818,20874,20008,474403,454634,36944,35619,23602,22868,11769,11103,3940,3668
P,7,2017,13,4152873,2118463,2034410,1559766,1487692,308033,299859,32899,32128,110931,110800,5981,5757,100853,98174,1652020,1577461,359781,350800,55219,53861,148526,146980,13422,12968,1604484,1537844,1113819,1057052,282182,274836,17890,17292,105490,105675,4166,3994,80937,78995,1188164,1129512,324502,316670,32703,31879,137108,136127,9724,9331,513979,496566,445947,430640,25851,25023,15009,14836,5441,5125,1815,1763,19916,19179,463856,447949,35279,34130,22516,21982,11418,10853,3698,3637
P,7,2017,14,4124397,2102915,2021482,1551299,1481216,306226,298561,32641,31467,110625,110711,5983,5756,96141,93771,1638970,1566883,355341,346505,54584,52988,146216,145344,13285,12607,1598287,1532395,1112980,1056058,280846,274335,17625,16983,105332,105591,4154,4037,77350,75391,1183776,1125220,321114,313660,32294,31416,135339,134699,9616,9221,504628,489087,438319,425158,25380,24226,15016,14484,5293,5120,1829,1719,18791,18380,455194,441663,34227,32845,22290,21572,10877,10645,3669,3386
P,7,2017,15,4110669,2096137,2014532,1546713,1476668,311854,303708,32505,31201,106884,106495,5826,5604,92355,90856,1630918,1559288,358894,350630,54175,52836,140740,139200,12787,12392,1597104,1531814,1112491,1056651,286797,279480,17797,17116,101795,101630,4088,3904,74136,73033,1180330,1123366,325418,317994,32231,31672,130198,129075,9358,9029,499033,482718,434222,420017,25057,24228,14708,14085,5089,4865,1738,1700,18219,17823,450588,435922,33476,32636,21944,21164,10542,10125,3429,3363
P,7,2017,16,4217009,2152331,2064678,1585392,1512192,323602,314507,32692,31765,111882,110509,5823,5743,92940,89962,1669879,1594087,370793,360580,55001,53308,145897,142979,12886,12615,1648319,1578526,1146246,1088486,298357,290410,18206,17596,106798,105729,4146,3973,74566,72332,1214180,1154561,336971,328294,33301,32178,135434,133073,9451,9158,504012,486152,439146,423706,25245,24097,14486,14169,5084,4780,1677,1770,18374,17630,455699,439526,33822,32286,21700,21130,10463,9906,3435,3457
P,7,2017,17,4289557,2193642,2095915,1616201,1534171,334291,323522,33704,32342,112016,110909,6013,5681,91417,89290,1699409,1615035,380545,369478,56493,54478,144747,142646,12937,12485,1686246,1610471,1173597,1111192,308989,299228,18910,18051,106930,106101,4280,4028,73540,71871,1240717,1176477,346929,336982,34385,33198,134597,132773,9544,9177,507396,485444,442604,422979,25302,24294,14794,14291,5086,4808,1733,1653,17877,17419,458692,438558,33616,32496,22108,21280,10150,9873,3393,3308
P,7,2017,18,4233573,2165100,2068473,1598732,1518126,327102,316683,32693,31735,111549,110182,5885,5488,89139,86259,1679661,1596244,371788,360613,55121,53744,143567,140654,12998,12135,1672320,1596564,1168849,1106710,302391,293136,18441,17867,106535,105384,4168,3921,71936,69546,1234358,1169850,339189,329441,33945,33129,133542,130887,9597,8997,492780,471909,429883,411416,24711,23547,14252,13868,5014,4798,1717,1567,17203,16713,445303,426394,32599,31172,21176,20615,10025,9767,3401,3138
P,7,2017,19,4251581,2176771,2074810,1604033,1518322,330497,319563,32865,31822,116974,115590,5930,5569,86472,83944,1682254,1594424,373446,361855,55115,53533,147922,145147,12702,11962,1687000,1608938,1176086,1111654,306227,296447,18436,18109,112111,110833,4299,3987,69841,67908,1239420,1173403,341663,331365,33830,33312,138263,135761,9525,8884,489771,465872,427947,406668,24270,23116,14429,13713,4863,4757,1631,1582,16631,16036,442834,421021,31783,30490,21285,20221,9659,9386,3177,3078
P,7,2017,20,4275360,2189413,2085947,1614047,1527140,330799,320414,32780,31323,121731,119499,5974,5477,84082,82094,1690102,1601205,371763,361207,55135,53332,152087,148461,12661,11965,1700525,1623384,1186851,1122930,306751,297821,18313,17788,116834,114819,4295,3956,67481,66070,1248069,1182621,340169,331318,33754,33137,142452,139234,9425,8937,488888,462563,427196,404210,24048,22593,14467,13535,4897,4680,1679,1521,16601,16024,442033,418584,31594,29889,21381,20195,9635,9227,3236,3028
P,7,2017,21,4315898,2216058,2099840,1635270,1537542,331676,321950,32936,31125,127295,123765,6181,5737,82700,79721,1709967,1609400,371324,360927,55587,53114,157205,152224,12808,12184,1727160,1638770,1207218,1134072,308018,299659,18541,17670,122500,119050,4462,4123,66421,64196,1267347,1192064,340402,331576,34219,33043,147828,143080,9608,9169,488898,461070,428052,403470,23658,22291,14395,13455,4795,4715,1719,1614,16279,15525,442620,417336,30922,29351,21368,20071,9377,9144,3200,3015
P,7,2017,22,4418131,2272820,2145311,1667988,1563514,350233,337233,33607,31950,133373,128133,6430,6072,81189,78409,1740805,1633666,388595,375389,56749,54092,162695,156049,13270,12641,1776264,1679891,1233052,1156314,325857,314365,19131,18217,128395,123481,4663,4388,65166,63126,1291520,1212893,357051,345509,35412,33930,153314,147057,9962,9527,496556,465420,434936,407200,24376,22868,14476,13733,4978,4652,1767,1684,16023,15283,449285,420773,31544,29880,21337,20162,9381,8992,3308,3114
P,7,2017,23,4514274,2323105,2191169,1695375,1586925,366934,353087,34280,32826,141064,134684,6509,6257,78943,77390,1765767,1655882,403284,389916,57578,55615,169897,162278,13514,12893,1820060,1722023,1253881,1176357,342189,329913,19818,18917,136238,129967,4783,4586,63151,62283,1310203,1231896,371607,359980,36244,35182,160655,153294,10237,9752,503045,469146,441494,410568,24745,23174,14462,13909,4826,4717,1726,1671,15792,15107,455564,423986,31677,29936,21334,20433,9242,8984,3277,3141
P,7,2017,24,4587684,2363718,2223966,1720341,1606170,378970,361884,35630,33557,146170,141608,6779,6343,75828,74404,1787734,1672205,413077,396465,58668,56233,174180,168387,13558,12890,1856019,1755082,1274889,1195355,353574,338801,20566,19635,141369,136866,4941,4637,60680,59788,1328857,1248456,381036,366788,36797,35808,165281,159672,10291,9766,507699,468884,445452,410815,25396,23083,15064,13922,4801,4742,1838,1706,15148,14616,458877,423749,32041,29677,21871,20425,8899,8715,3267,3124
P,7,2017,25,4710716,2419000,2291716,1762003,1653273,384785,372140,37066,34258,153658,151367,7104,6530,74384,74148,1827673,1718585,416903,405579,60445,56889,181622,179132,14044,13342,1903072,1816083,1309760,1237499,359032,347680,21425,20269,148667,146402,5133,4792,59055,59441,1361865,1289909,384415,374524,37894,36415,172516,170041,10611,10063,515928,475633,452243,415774,25753,24460,15641,13989,4991,4965,1971,1738,15329,14707,465808,428676,32488,31055,22551,20474,9106,9091,3433,3279
