UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
P,7,2018,999,326923976,161089078,165834898,124058406,126071917,20978125,22796370,2090683,2057786,9138192,10008302,404891,391899,4418781,4508624,127990949,130063195,22947093,24852070,3422477,3451869,10776108,11644409,799168,789886,130953072,136299388,97543742,100132805,19566067,21335159,1193350,1228999,8844341,9713150,297306,291717,3508266,3597558,100663999,103313857,21115501,22962433,2140795,2241305,10231681,11098256,606189,605077,30136006,29535510,26514664,25939112,1412058,1461211,897333,828787,293851,295152,107585,100182,910515,911066,27326950,26749338,1831592,1889637,1281682,1210564,544427,546153,192979,184809
P,7,2018,0,3815343,1951663,1863680,1408496,1340407,292452,284310,31369,30146,96462,90677,5756,5468,117128,112672,1516404,1444191,355642,345630,54842,52635,139471,131672,14005,13336,1447012,1378979,976898,926276,265360,258119,16273,15508,90878,85333,3945,3727,93658,90016,1063597,1009579,316761,307993,31634,30176,126645,119400,10019,9517,504651,484701,431598,414131,27092,26191,15096,14638,5584,5344,1811,1741,23470,22656,452807,434612,38881,37637,23208,22459,12826,12272,3986,3819
P,7,2018,1,3908830,1999022,1909808,1440436,1370967,299036,291099,32043,30795,101901,96119,5921,5683,119685,115145,1550673,1477013,363523,353711,56002,53753,145956,138086,14356,13729,1481056,1412351,997263,945800,271291,264233,16588,15820,96168,90656,4071,3889,95675,91953,1085798,1030874,323703,315108,32246,30772,132834,125556,10290,9817,517966,497457,443173,425167,27745,26866,15455,14975,5733,5463,1850,1794,24010,23192,464875,446139,39820,38603,23756,22981,13122,12530,4066,3912
P,7,2018,2,3987032,2037249,1949783,1465909,1396450,304982,298066,32617,31502,106079,100766,6042,5858,121620,117141,1577876,1504285,370509,361783,56950,54899,150907,143436,14612,14059,1504817,1437726,1009880,958354,276790,270724,16739,16081,100187,95177,4151,4020,97070,93370,1099654,1044688,329977,322394,32578,31274,137470,130621,10465,10058,532432,512057,456029,438096,28192,27342,15878,15421,5892,5589,1891,1838,24550,23771,478222,459597,40532,39389,24372,23625,13437,12815,4147,4001
P,7,2018,3,4033038,2061889,1971149,1479231,1409617,308941,300831,32781,31709,112105,105475,6118,5893,122713,117624,1592172,1517893,374957,364582,57326,55191,157423,148558,14798,14087,1530005,1458969,1024033,971655,280047,272956,17090,16346,106371,99975,4266,4082,98198,93955,1114800,1058519,333636,324678,33172,31647,144246,135902,10712,10158,531884,512180,455198,437962,28894,27875,15691,15363,5734,5500,1852,1811,24515,23669,477372,459374,41321,39904,24154,23544,13177,12656,4086,3929
P,7,2018,4,4018719,2056431,1962288,1478277,1404347,308499,300430,33082,31852,109383,103671,5911,5705,121279,116283,1589903,1511379,373250,363529,57527,55206,154445,146051,14642,13930,1528902,1456494,1026805,971800,279644,272712,17435,16691,103863,98408,4151,3988,97004,92895,1116495,1057684,332155,323946,33477,31955,141495,133697,10600,10058,527529,505794,451472,432547,28855,27718,15647,15161,5520,5263,1760,1717,24275,23388,473408,453695,41095,39583,24050,23251,12950,12354,4042,3872
P,7,2018,5,4008443,2048510,1959933,1470552,1403228,307176,299160,32871,31593,112040,105602,5945,5684,119926,114666,1580799,1508581,370764,360748,57131,54889,156986,147907,14775,13939,1524306,1454390,1020765,969693,279128,272004,17626,16835,106679,100339,4211,3964,95897,91555,1109302,1054168,330646,321927,33556,32109,144257,135609,10715,10000,524204,505543,449787,433535,28048,27156,15245,14758,5361,5263,1734,1720,24029,23111,471497,454413,40118,38821,23575,22780,12729,12298,4060,3939
P,7,2018,6,4014057,2051501,1962556,1478705,1410850,307870,298894,33540,32241,107482,102150,5717,5499,118187,112922,1587329,1514630,370751,359361,57847,55464,151304,143675,14319,13711,1523025,1453278,1024897,973104,280090,272240,17631,17003,102207,97096,3983,3841,94217,89994,1111860,1056175,330909,321173,33547,32192,138775,131675,10309,9854,528476,509278,453808,437746,27780,26654,15909,15238,5275,5054,1734,1658,23970,22928,475469,458455,39842,38188,24300,23272,12529,12000,4010,3857
P,7,2018,7,4058370,2075612,1982758,1504399,1432666,309546,300612,32431,31375,105186,100089,5686,5406,118364,112610,1613254,1536148,372392,360751,57042,54948,148860,141324,14371,13583,1533077,1459833,1034173,980134,283009,274499,17917,17053,100058,95163,3966,3758,93954,89226,1120940,1062463,333671,322890,33965,32398,136324,129378,10312,9704,542535,522925,470226,452532,26537,26113,14514,14322,5128,4926,1720,1648,24410,23384,492314,473685,38721,37861,23077,22550,12536,11946,4059,3879
P,7,2018,8,4054236,2069100,1985136,1490028,1423765,310191,301497,32900,32075,110233,105934,6012,5846,119736,116019,1600296,1530382,374281,364187,57416,56094,154198,148056,14580,14070,1529858,1465102,1027613,977817,281513,273763,17300,17130,104404,100385,4076,3936,94952,92071,1115451,1062789,333121,324138,33126,32810,140867,135403,10365,9922,539242,520034,462415,445948,28678,27734,15600,14945,5829,5549,1936,1910,24784,23948,484845,467593,41160,40049,24290,23284,13331,12653,4215,4148
