UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
P,7,2015,999,320870703,158058494,162812209,122731209,124816261,20391500,22185385,2022673,1984672,8470832,9294404,383159,369897,4059121,4161590,126331197,128486667,22161027,24048332,3295990,3322219,9969530,10796807,753333,744684,129604926,134981918,97645222,100331747,19080801,20824010,1170488,1202691,8194141,9016187,281371,275431,3232903,3331852,100509949,103266216,20478732,22304539,2086658,2184956,9464232,10288801,572512,571728,28453568,27830291,25085987,24484514,1310699,1361375,852185,781981,276691,278217,101788,94466,826218,829738,25821248,25220451,1682295,1743793,1209332,1137263,505298,508006,180821,172956
P,7,2015,0,3983981,2037646,1946335,1468171,1398660,306209,297288,32654,31604,102640,96027,5995,5681,121977,117075,1580522,1506486,372048,360856,57143,55053,147381,138721,14590,13819,1515033,1443305,1021416,968974,277696,269851,17105,16365,96987,90563,4148,3898,97681,93654,1111807,1055624,331273,321590,33202,31703,134288,126111,10505,9919,522613,503030,446755,429686,28513,27437,15549,15239,5653,5464,1847,1783,24296,23421,468715,450862,40775,39266,23941,23350,13093,12610,4085,3900
P,7,2015,1,3973133,2033686,1939447,1467398,1393618,305556,296788,32986,31738,101413,96018,5800,5565,120533,115720,1578413,1500180,370099,359713,57365,55042,145920,137998,14450,13734,1515059,1442568,1024029,969174,277066,269494,17457,16706,95947,90782,4053,3862,96507,92550,1113348,1054796,329548,320726,33514,31989,133041,125680,10419,9875,518627,496879,443369,424444,28490,27294,15529,15032,5466,5236,1747,1703,24026,23170,465065,445384,40551,38987,23851,23053,12879,12318,4031,3859
P,7,2015,2,3966321,2027455,1938866,1460097,1392768,304130,295586,32784,31468,105324,99374,5838,5558,119282,114112,1569808,1497675,367501,357001,56993,54728,149833,141273,14603,13756,1512018,1442154,1018276,967283,276471,268831,17638,16860,100011,94146,4122,3856,95500,91178,1106515,1051480,327960,318726,33593,32150,137159,129014,10565,9835,515437,496712,441821,425485,27659,26755,15146,14608,5313,5228,1716,1702,23782,22934,463293,446195,39541,38275,23400,22578,12674,12259,4038,3921
P,7,2015,3,3974351,2031603,1942748,1468492,1400621,304681,295423,33440,32095,101785,96838,5621,5382,117584,112389,1576620,1503957,367317,355720,57667,55268,145244,138000,14174,13537,1511971,1442312,1022624,970886,277370,269176,17639,17020,96551,91833,3907,3740,93880,89657,1109342,1053699,328146,318082,33560,32224,132769,126060,10182,9700,519632,500436,445868,429735,27311,26247,15801,15075,5234,5005,1714,1642,23704,22732,467278,450258,39171,37638,24107,23044,12475,11940,3992,3837
P,7,2015,4,4020292,2056372,1963920,1494126,1422583,306321,297382,32341,31222,100176,95333,5598,5318,117810,112082,1602520,1525628,368912,357319,56882,54721,143547,136242,14239,13447,1522868,1449862,1031977,978044,280306,271686,17932,17058,95071,90456,3897,3682,93685,88936,1118551,1060162,330944,320054,33992,32410,131047,124358,10198,9582,533504,514058,462149,444539,26015,25696,14409,14164,5105,4877,1701,1636,24125,23146,483969,465466,37968,37265,22890,22311,12500,11884,4041,3865
P,7,2015,5,4017589,2050288,1967301,1479646,1414038,307043,298359,32811,31920,105591,101645,5934,5779,119263,115560,1589516,1520263,370898,360829,57266,55880,149318,143529,14465,13967,1520279,1456028,1025545,975941,278869,271098,17316,17116,99774,96133,4010,3877,94765,91863,1113257,1060762,330464,321444,33163,32816,136018,130926,10259,9825,530009,511273,454101,438097,28174,27261,15495,14804,5817,5512,1924,1902,24498,23697,476259,459501,40434,39385,24103,23064,13300,12603,4206,4142
P,7,2015,6,4017388,2049274,1968114,1478571,1413168,309922,302204,32841,31803,105161,102181,6095,6027,116684,112731,1585697,1516829,372631,363486,56763,54492,147762,142881,14390,14059,1525544,1463527,1030725,981887,281283,274321,17381,16930,99094,96448,4072,4046,92989,89895,1116504,1064960,332190,324135,32938,31613,134502,130373,10171,9948,523730,504587,447846,431281,28639,27883,15460,14873,6067,5733,2023,1981,23695,22836,469193,451869,40441,39351,23825,22879,13260,12508,4219,4111
P,7,2015,7,4145872,2115674,2030198,1529409,1460083,319696,312027,34135,32936,109222,105853,6330,6049,116882,113250,1636624,1563969,382432,373884,58010,56076,151884,146454,14884,13999,1573983,1510501,1064399,1014756,290524,283784,18016,17582,103312,100091,4267,4004,93465,90284,1150506,1097915,341727,334145,33618,32539,138890,133840,10537,9855,541691,519697,465010,445327,29172,28243,16119,15354,5910,5762,2063,2045,23417,22966,486118,466054,40705,39739,24392,23537,12994,12614,4347,4144
P,7,2015,8,4165033,2127652,2037381,1544891,1474034,320609,310423,34691,33155,107937,103670,6256,6129,113268,109970,1648819,1574721,381141,369814,58234,56104,149300,143206,14547,14126,1586012,1516829,1079468,1026439,291855,282830,18049,17730,101930,98047,4239,4090,90471,87693,1162883,1107054,341156,331290,33465,32621,136307,130972,10345,9952,541640,520552,465423,447595,28754,27593,16642,15425,6007,5623,2017,2039,22797,22277,485936,467667,39985,38524,24769,23483,12993,12234,4202,4174
