UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
P,7,2016,999,323161011,159209417,163951594,123259237,125309631,20604964,22405837,2046813,2010456,8724542,9566876,390889,377721,4182972,4281073,126973561,129090323,22442354,24334411,3340467,3367707,10271776,11115808,769406,760563,130160443,135521559,97665264,100311521,19259667,21010453,1178628,1212059,8441799,9282687,287099,281265,3327986,3423574,100618015,103330915,20709341,22541067,2105746,2204889,9752906,10594575,584453,583522,29048974,28430035,25593973,24998110,1345297,1395384,868185,798397,282743,284189,103790,96456,854986,857499,26355546,25759408,1733013,1793344,1234721,1162818,518870,521233,184953,177041
P,7,2016,0,3954773,2021375,1933398,1458763,1389473,303325,295866,32534,31435,99600,94140,5965,5696,121188,116788,1570387,1497022,368766,359482,56842,54800,144063,136547,14489,13861,1495020,1427213,1008285,956665,275370,268810,16750,16093,93758,88572,4075,3884,96782,93189,1097852,1042876,328580,320511,32607,31305,130676,123765,10342,9886,526355,506185,450478,432808,27955,27056,15784,15342,5842,5568,1890,1812,24406,23599,472535,454146,40186,38971,24235,23495,13387,12782,4147,3975
P,7,2016,1,4002903,2046917,1955986,1472243,1402648,307032,298523,32709,31645,106667,100105,6047,5801,122219,117264,1584784,1510624,372912,362126,57211,55102,151619,142958,14671,13961,1520784,1449582,1022263,969905,278402,270929,17099,16360,100971,94620,4199,3998,97850,93770,1112773,1056633,331962,322651,33187,31684,138484,130324,10589,10040,526133,506404,449980,432743,28630,27594,15610,15285,5696,5485,1848,1803,24369,23494,472011,453991,40950,39475,24024,23418,13135,12634,4082,3921
P,7,2016,2,3991349,2042821,1948528,1471543,1397587,306645,298105,33028,31777,104930,99508,5836,5629,120839,115922,1582809,1504317,371254,361096,57438,55101,149680,141626,14518,13817,1520957,1448473,1025226,970263,278024,270667,17449,16705,99438,94258,4089,3919,96731,92661,1114718,1055971,330521,321894,33507,31978,136767,129291,10487,9949,521864,500055,446317,427324,28621,27438,15579,15072,5492,5250,1747,1710,24108,23261,468091,448346,40733,39202,23931,23123,12913,12335,4031,3868
P,7,2016,3,3982984,2035822,1947162,1464106,1396639,305169,296883,32814,31503,108316,102200,5883,5601,119534,114336,1574024,1501733,368598,358372,57035,54782,153026,144252,14675,13821,1517211,1447312,1019360,968303,277383,269984,17632,16853,102989,96960,4161,3894,95686,91318,1107744,1052608,328881,319884,33577,32136,140340,131978,10632,9897,518611,499850,444746,428336,27786,26899,15182,14650,5327,5240,1722,1707,23848,23018,466280,449125,39717,38488,23458,22646,12686,12274,4043,3924
P,7,2016,4,3989750,2039292,1950458,1472274,1404404,305762,296753,33468,32155,104302,99120,5664,5435,117822,112591,1580594,1507904,368485,357094,57725,55344,147918,140438,14239,13614,1516514,1446880,1023527,971797,278339,270371,17635,17014,99049,94107,3940,3785,94024,89806,1110349,1054725,329132,319285,33552,32212,135419,128485,10237,9765,522778,503578,448747,432607,27423,26382,15833,15141,5253,5013,1724,1650,23798,22785,470245,453179,39353,37809,24173,23132,12499,11953,4002,3849
P,7,2016,5,4035033,2063743,1971290,1497790,1426292,307505,298622,32385,31287,102391,97430,5628,5362,118044,112297,1606376,1529510,370184,358621,56954,54808,145910,138497,14286,13514,1527187,1454143,1032893,978943,281340,272802,17933,17050,97271,92534,3923,3717,93827,89097,1119572,1061182,331997,321187,33996,32408,133391,126593,10247,9645,536556,517147,464897,447349,26165,25820,14452,14237,5120,4896,1705,1645,24217,23200,486804,468328,38187,37434,22958,22400,12519,11904,4039,3869
P,7,2016,6,4031568,2057368,1974200,1483406,1417588,308201,299548,32840,31980,107497,103537,5960,5809,119464,115738,1593440,1523964,372130,362082,57321,55954,151346,145540,14510,14012,1524185,1459869,1026444,976739,279840,272133,17307,17117,101672,98009,4033,3905,94889,91966,1114244,1061638,331456,322491,33155,32806,138037,132917,10306,9867,533183,514331,456962,440849,28361,27415,15533,14863,5825,5528,1927,1904,24575,23772,479196,462326,40674,39591,24166,23148,13309,12623,4204,4145
P,7,2016,7,4030888,2056162,1974726,1482310,1416747,311048,303315,32866,31869,106937,103853,6137,6052,116864,112890,1589589,1520540,373846,364662,56815,54573,149633,144649,14441,14098,1529212,1467036,1031549,982657,282245,275283,17381,16942,100869,98096,4107,4067,93061,89991,1117380,1065802,333155,325111,32934,31621,136363,132120,10218,9987,526950,507690,450761,434090,28803,28032,15485,14927,6068,5757,2030,1985,23803,22899,472209,454738,40691,39551,23881,22952,13270,12529,4223,4111
P,7,2016,8,4158848,2122435,2036413,1533032,1463442,320844,313144,34180,32977,110999,107376,6359,6068,117021,113406,1640364,1567462,383648,375071,58070,56144,153731,148055,14927,14029,1577611,1513738,1065170,1015439,291532,284738,18012,17583,105084,101606,4295,4021,93518,90351,1151313,1098646,342733,335101,33605,32538,140730,135431,10580,9881,544824,522675,467862,448003,29312,28406,16168,15394,5915,5770,2064,2047,23503,23055,489051,468816,40915,39970,24465,23606,13001,12624,4347,4148
