UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
P,7,2011,999,311973914,153565188,158408726,120676142,122923170,19532857,21324184,1925104,1882665,7500087,8239219,355141,341124,3575857,3698364,123830394,126166030,21040520,22934554,3117615,3142141,8807866,9560827,691525,684090,127250036,132818444,97399903,100352635,18355873,20093622,1132695,1161890,7244619,7983347,260590,253834,2856356,2973116,99916082,102954767,19551168,21379090,2002930,2100875,8352723,9103316,526683,526658,26315152,25590282,23276239,22570535,1176984,1230562,792409,720775,255468,255872,94551,87290,719501,725248,23914312,23211263,1489352,1555464,1114685,1041266,455143,457511,164842,157432
P,7,2011,0,3963092,2028430,1934662,1482768,1410540,302642,293392,32184,31077,88346,83161,5488,5151,117002,111341,1590514,1512995,365060,353146,56674,54533,131059,123472,14041,13196,1504027,1430192,1028830,974602,277023,268222,17955,17085,83276,78334,3814,3534,93129,88415,1114999,1056341,327664,316586,34048,32458,118607,111640,10027,9352,524403,504470,453938,435938,25619,25170,14229,13992,5070,4827,1674,1617,23873,22926,475515,456654,37396,36560,22626,22075,12452,11832,4014,3844
P,7,2011,1,3966225,2025272,1940953,1469049,1402768,303377,294456,32627,31805,95770,91361,5819,5602,118630,114961,1578398,1508513,367076,356774,57038,55754,139005,132749,14285,13724,1503640,1438524,1022491,972611,275583,267700,17308,17147,89983,85902,3905,3726,94370,91438,1109904,1057113,327193,318039,33198,32884,125748,120202,10091,9608,521632,502429,446558,430157,27794,26756,15319,14658,5787,5459,1914,1876,24260,23523,468494,451400,39883,38735,23840,22870,13257,12547,4194,4116
P,7,2011,2,3970654,2026392,1944262,1468416,1402425,306496,298484,32703,31711,96776,93548,5944,5887,116057,112207,1575031,1505649,369014,359602,56570,54374,138929,133868,14176,13865,1510881,1448186,1028009,978793,278226,271087,17375,16951,90735,87865,3924,3915,92612,89575,1113517,1061624,329128,320906,32959,31669,125705,121414,9960,9763,515511,496076,440407,423632,28270,27397,15328,14760,6041,5683,2020,1972,23445,22632,461514,444025,39886,38696,23611,22705,13224,12454,4216,4102
P,7,2011,3,4101644,2093789,2007855,1519317,1449283,316411,308471,34032,32836,101550,98568,6177,5915,116302,112782,1626057,1552786,378953,370154,57875,55941,143785,138858,14677,13819,1560414,1496713,1061896,1011687,287619,280682,18015,17579,95655,92839,4121,3885,93108,90041,1147738,1094674,338814,331050,33645,32569,130814,126285,10337,9689,533375,511142,457421,437596,28792,27789,16017,15257,5895,5729,2056,2030,23194,22741,478319,458112,40139,39104,24230,23372,12971,12573,4340,4130
P,7,2011,4,4121488,2105836,2015652,1534496,1463272,317272,306796,34599,33059,100636,97078,6130,6003,112703,109444,1637970,1563521,377622,365959,58112,55951,141577,136308,14357,13951,1572880,1503912,1077034,1023590,288941,279710,18056,17717,94635,91470,4114,3976,90100,87449,1160179,1104034,338225,328169,33496,32633,128594,124101,10156,9792,532956,511740,457462,439682,28331,27086,16543,15342,6001,5608,2016,2027,22603,21995,477791,459487,39397,37790,24616,23318,12983,12207,4201,4159
P,7,2011,5,4087054,2089022,1998032,1532950,1457700,308341,300764,33855,32619,99722,97223,6014,5751,108140,103975,1632156,1553058,365384,356178,56862,54625,139407,134913,13894,13268,1567546,1497827,1083180,1026609,281504,274608,18054,17552,93963,91926,4024,3839,86821,83293,1163156,1103323,328369,320149,33188,31968,127157,123308,9847,9335,521476,500205,449770,431091,26837,26156,15801,15067,5759,5297,1990,1912,21319,20682,469000,449735,37015,36029,23674,22657,12250,11605,4047,3933
P,7,2011,6,4074531,2081475,1993056,1533004,1458560,304758,295264,33456,32684,100728,100207,6001,5756,103528,100585,1627743,1550441,358636,348166,56103,54492,139022,136896,13542,13027,1570937,1504368,1091650,1036687,278823,270083,18005,17563,95197,95028,4064,3969,83198,81038,1168131,1110988,323095,313729,32939,31933,127311,125878,9630,9391,510538,488688,441354,421873,25935,25181,15451,15121,5531,5179,1937,1787,20330,19547,459612,439453,35541,34437,23164,22559,11711,11018,3912,3636
P,7,2011,7,4082821,2084118,1998703,1542769,1469494,302352,293449,32613,31962,100646,101001,5783,5488,99955,97309,1634245,1558533,353657,344016,54780,53570,137830,136695,13171,12642,1586704,1519189,1111394,1054272,277534,269312,17892,17301,95275,95955,3999,3764,80610,78585,1185503,1126431,319839,311122,32728,31911,126514,125946,9508,9043,497414,479514,431375,415222,24818,24137,14721,14661,5371,5046,1784,1724,19345,18724,448742,432102,33818,32894,22052,21659,11316,10749,3663,3599
P,7,2011,8,4052773,2067751,1985022,1534112,1462755,300353,292047,32360,31302,99951,100537,5740,5482,95235,92899,1620996,1547673,349021,339584,54160,52691,135116,134723,12979,12273,1580076,1513848,1110637,1053727,276086,268815,17629,17000,94759,95507,3959,3794,77006,75005,1181177,1122598,316344,308105,32322,31453,124373,124201,9360,8919,487675,471174,423475,409028,24267,23232,14731,14302,5192,5030,1781,1688,18229,17894,439819,425075,32677,31479,21838,21238,10743,10522,3619,3354
P,7,2011,9,4035319,2058990,1976329,1528698,1457621,305571,296837,32268,30998,95453,95511,5564,5347,91436,90015,1612106,1539521,352163,343336,53787,52498,128877,127818,12470,12084,1577778,1512319,1110090,1054334,281746,273731,17808,17137,90470,90728,3876,3678,73788,72711,1177672,1120821,320352,312227,32265,31710,118475,117804,9091,8752,481212,464010,418608,403287,23825,23106,14460,13861,4983,4783,1688,1669,17648,17304,434434,418700,31811,31109,21522,20788,10402,10014,3379,3332
P,7,2011,10,4135275,2111575,2023700,1565540,1492289,316819,307152,32423,31481,99239,98282,5581,5498,91973,88998,1649181,1573347,363525,352763,54567,52858,132813,130298,12589,12306,1627142,1556909,1143571,1085789,292888,284222,18227,17607,94285,93588,3934,3764,74237,71939,1211268,1151569,331501,322073,33350,32205,122521,120512,9189,8886,484433,466791,421969,406500,23931,22930,14196,13874,4954,4694,1647,1734,17736,17059,437913,421778,32024,30690,21217,20653,10292,9786,3400,3420
P,7,2011,11,4197127,2146781,2050346,1593199,1512838,326819,315678,33384,32021,97226,96261,5800,5414,90353,88134,1675485,1592708,372561,361137,55984,53952,129465,127406,12660,12137,1661632,1584932,1170219,1107665,302933,292520,18966,18058,92278,91560,4082,3806,73154,71323,1237061,1172530,340878,330231,34463,33204,119486,117680,9288,8873,485149,465414,422980,405173,23886,23158,14418,13963,4948,4701,1718,1608,17199,16811,438424,420178,31683,30906,21521,20748,9979,9726,3372,3264
P,7,2011,12,4125724,2109450,2016274,1572101,1494986,318783,308296,32279,31344,93042,91559,5662,5215,87583,84874,1651680,1571928,362829,351643,54470,53147,124229,121273,12657,11754,1641713,1565284,1164236,1102223,295663,285856,18504,17844,88181,86868,3963,3684,71166,68809,1229141,1164800,332387,322064,34027,33098,114405,111662,9282,8652,467737,450990,407865,392763,23120,22440,13775,13500,4861,4691,1699,1531,16417,16065,422539,407128,30442,29579,20443,20049,9824,9611,3375,3102
P,7,2011,13,4123811,2108623,2015188,1571251,1492911,320775,310247,32270,31411,94366,93078,5604,5267,84357,82274,1647680,1567580,362948,351867,54195,52877,124081,121697,12180,11534,1646726,1571468,1167793,1105954,298203,288309,18455,18067,89686,88410,4006,3725,68583,67003,1230148,1166994,333486,323119,33801,33259,114655,112456,9048,8501,461897,443720,403458,386957,22572,21938,13815,13344,4680,4668,1598,1542,15774,15271,417532,400586,29462,28748,20394,19618,9426,9241,3132,3033
P,7,2011,14,4130861,2110350,2020511,1575362,1499617,320246,310507,32097,30949,95660,94072,5510,5144,81475,80222,1649204,1572086,360264,350541,53992,52656,124545,122020,11945,11476,1651823,1581151,1174861,1116140,297860,289095,18317,17750,90985,89495,3905,3658,65895,65013,1234839,1175007,331048,322432,33640,33058,115200,112946,8795,8491,458527,439360,400501,383477,22386,21412,13780,13199,4675,4577,1605,1486,15580,15209,414365,397079,29216,28109,20352,19598,9345,9074,3150,2985
