Year,Age,Population
1990,0,3947313
1990,1,3769554
1990,2,3702679
1990,3,3641649
1990,4,3703886
1990,5,3635463
1990,6,3580577
1990,7,3647972
1990,8,3473320
1990,9,3704888
1990,10,3641128
1990,11,3438903
1990,12,3393344
1990,13,3323778
1990,14,3270109
1990,15,3322354
1990,16,3284318
1990,17,3468142
1990,18,3671270
1990,19,4182741
1990,20,4041650
1990,21,3863998
1990,22,3703921
1990,23,3760681
1990,24,3948694
1990,25,4139657
1990,26,4235193
1990,27,4310202
1990,28,4166003
1990,29,4613526
1990,30,4489677
1990,31,4370328
1990,32,4404193
1990,33,4296832
1990,34,4362142
1990,35,4250394
1990,36,4046281
1990,37,4001641
1990,38,3698470
1990,39,3910561
1990,40,3758000
1990,41,3635527
1990,42,3702559
1990,43,3647939
1990,44,2874919
1990,45,2889149
1990,46,2871123
1990,47,2938722
1990,48,2489220
1990,49,2565502
1990,50,2403702
1990,51,2317309
1990,52,2245822
1990,53,2154333
1990,54,2195216
1990,55,2158596
1990,56,2036395
1990,57,2092392
1990,58,2008751
1990,59,2193187
1990,60,2145630
1990,61,2104800
1990,62,2150828
1990,63,2100109
1990,64,2125244
1990,65,2123213
1990,66,2050096
1990,67,1999525
1990,68,1977982
1990,69,1916276
1990,70,1759331
1990,71,1680703
1990,72,1593732
1990,73,1499553
1990,74,1447498
1990,75,1392544
1990,76,1291210
1990,77,1227035
1990,78,1133687
1990,79,1059302
1990,80,943884
1990,81,860465
1990,82,784081
1990,83,696882
1990,84,624430
1991,0,4019288
1991,1,3911261
1991,2,3776184
1991,3,3710047
1991,4,3700920
1991,5,3709862
1991,6,3639140
1991,7,3599050
1991,8,3536397
1991,9,3730671
1991,10,3736577
1991,11,3612729
1991,12,3460058
1991,13,3445345
1991,14,3364774
1991,15,3321334
1991,16,3359714
1991,17,3369129
1991,18,3435228
1991,19,3896780
1991,20,4158206
1991,21,3959579
1991,22,3767272
1991,23,3681617
1991,24,3850827
1991,25,3938422
1991,26,4146859
1991,27,4297879
1991,28,4139399
1991,29,4600247
1991,30,4559446
1991,31,4425655
1991,32,4421346
1991,33,4418798
1991,34,4468495
1991,35,4353924
1991,36,4182950
1991,37,4100510
1991,38,3802257
1991,39,4098969
1991,40,3805453
1991,41,3674124
1991,42,3631568
1991,43,3667979
1991,44,3777414
1991,45,2817863
1991,46,2814435
1991,47,2902097
1991,48,2811330
1991,49,2721827
1991,50,2501459
1991,51,2321097
1991,52,2312867
1991,53,2266493
1991,54,2190299
1991,55,2138618
1991,56,2189000
1991,57,2041794
1991,58,1959726
1991,59,2120976
1991,60,2137779
1991,61,2097981
1991,62,2092858
1991,63,2157470
1991,64,2125231
1991,65,2070755
1991,66,2073343
1991,67,2020898
1991,68,1911675
1991,69,1975541
1991,70,1863538
1991,71,1707808
1991,72,1640755
1991,73,1511856
1991,74,1465819
1991,75,1407170
1991,76,1331196
1991,77,1239235
1991,78,1196545
1991,79,1072676
1991,80,966479
1991,81,881078
1991,82,799491
1991,83,734210
1991,84,635848
1992,0,3978783
1992,1,3991076
1992,2,3920586
1992,3,3791155
1992,4,3774974
1992,5,3710100
1992,6,3716081
1992,7,3663505
1992,8,3504392
1992,9,3778671
1992,10,3771318
1992,11,3713280
1992,12,3639516
1992,13,3511574
1992,14,3489321
1992,15,3418746
1992,16,3359157
1992,17,3440761
1992,18,3349500
1992,19,3640732
1992,20,3884855
1992,21,4078234
1992,22,3867335
1992,23,3750991
1992,24,3768745
1992,25,3855637
1992,26,3941627
1992,27,4212599
1992,28,4142677
1992,29,4526978
1992,30,4572740
1992,31,4483034
1992,32,4478299
1992,33,4429550
1992,34,4583610
1992,35,4472837
1992,36,4281944
1992,37,4230087
1992,38,3915191
1992,39,4172682
1992,40,4013086
1992,41,3711934
1992,42,3677815
1992,43,3601090
1992,44,3784232
1992,45,3719707
1992,46,2745541
1992,47,2845681
1992,48,2787445
1992,49,3049199
1992,50,2668808
1992,51,2416119
1992,52,2319877
1992,53,2330177
1992,54,2306486
1992,55,2138312
1992,56,2160044
1992,57,2193608
1992,58,1926023
1992,59,2057718
1992,60,2076910
1992,61,2086937
1992,62,2088802
1992,63,2098607
1992,64,2179568
1992,65,2073787
1992,66,2024844
1992,67,2047178
1992,68,1932053
1992,69,1905327
1992,70,1924149
1992,71,1805897
1992,72,1666965
1992,73,1563222
1992,74,1478260
1992,75,1423969
1992,76,1344873
1992,77,1275052
1992,78,1204358
1992,79,1131272
1992,80,985918
1992,81,898254
1992,82,820093
1992,83,745759
1992,84,670263
1993,0,3914106
1993,1,3959764
1993,2,4005671
1993,3,3945023
1993,4,3864424
1993,5,3790345
1993,6,3721222
1993,7,3749516
1993,8,3585318
1993,9,3728262
1993,10,3831160
1993,11,3756297
1993,12,3748653
1993,13,3693985
1993,14,3560908
1993,15,3548788
1993,16,3460191
1993,17,3437847
1993,18,3433556
1993,19,3543719
1993,20,3642932
1993,21,3823669
1993,22,3994482
1993,23,3861104
1993,24,3841966
1993,25,3791691
1993,26,3858636
1993,27,4014714
1993,28,4081370
1993,29,4490511
1993,30,4527931
1993,31,4487489
1993,32,4540688
1993,33,4481743
1993,34,4584938
1993,35,4602005
1993,36,4396469
1993,37,4322925
1993,38,4059138
1993,39,4256401
1993,40,4110501
1993,41,3905598
1993,42,3723874
1993,43,3649652
1993,44,3702078
1993,45,3748160
1993,46,3624719
1993,47,2777600
1993,48,2743705
1993,49,3003424
1993,50,3008130
1993,51,2578171
1993,52,2418969
1993,53,2333098
1993,54,2372821
1993,55,2256938
1993,56,2152306
1993,57,2164015
1993,58,2084611
1993,59,2010894
1993,60,2023370
1993,61,2023582
1993,62,2081010
1993,63,2093525
1993,64,2116128
1993,65,2129269
1993,66,2030380
1993,67,2002274
1993,68,1957202
1993,69,1921069
1993,70,1859939
1993,71,1861256
1993,72,1763625
1993,73,1596766
1993,74,1529550
1993,75,1436064
1993,76,1361546
1993,77,1287469
1993,78,1235979
1993,79,1139346
1993,80,1046869
1993,81,914917
1993,82,838635
1993,83,763386
1993,84,681417
1994,0,3858262
1994,1,3900186
1994,2,3973204
1994,3,4034620
1994,4,4020946
1994,5,3878296
1994,6,3799198
1994,7,3756011
1994,8,3680540
1994,9,3789299
1994,10,3783878
1994,11,3817232
1994,12,3792481
1994,13,3797696
1994,14,3741572
1994,15,3617868
1994,16,3586130
1994,17,3529859
1994,18,3437258
1994,19,3615313
1994,20,3546804
1994,21,3590738
1994,22,3753285
1994,23,3991212
1994,24,3949356
1994,25,3876056
1994,26,3787568
1994,27,3931367
1994,28,3903233
1994,29,4377384
1994,30,4512456
1994,31,4428600
1994,32,4543229
1994,33,4533284
1994,34,4623487
1994,35,4613271
1994,36,4516934
1994,37,4426013
1994,38,4165890
1994,39,4366966
1994,40,4215331
1994,41,3989209
1994,42,3923444
1994,43,3694915
1994,44,3735937
1994,45,3684113
1994,46,3650441
1994,47,3659424
1994,48,2687780
1994,49,2934808
1994,50,2977317
1994,51,2904789
1994,52,2582897
1994,53,2426567
1994,54,2376192
1994,55,2324683
1994,56,2261947
1994,57,2154044
1994,58,2068962
1994,59,2161819
1994,60,1985410
1994,61,1966246
1994,62,2019413
1994,63,2083769
1994,64,2105726
1994,65,2068997
1994,66,2087202
1994,67,2010206
1994,68,1913178
1994,69,1940695
1994,70,1878041
1994,71,1793779
1994,72,1815702
1994,73,1695618
1994,74,1561001
1994,75,1482840
1994,76,1371574
1994,77,1300236
1994,78,1242409
1994,79,1167360
1994,80,1060057
1994,81,966810
1994,82,854031
