Year,Age,Population
2000,0,3855956
2000,1,3798691
2000,2,3800144
2000,3,3821118
2000,4,3902384
2000,5,3967834
2000,6,4004335
2000,7,4091467
2000,8,4164871
2000,9,4235345
2000,10,4318540
2000,11,4151953
2000,12,4084732
2000,13,4034618
2000,14,4047853
2000,15,4064678
2000,16,3983291
2000,17,4048379
2000,18,4079606
2000,19,4119001
2000,20,4101286
2000,21,3893853
2000,22,3771190
2000,23,3722452
2000,24,3627886
2000,25,3747738
2000,26,3644037
2000,27,3747633
2000,28,3947343
2000,29,4193512
2000,30,4297742
2000,31,4062757
2000,32,3999268
2000,33,4019117
2000,34,4145350
2000,35,4446557
2000,36,4528984
2000,37,4523611
2000,38,4547235
2000,39,4604465
2000,40,4696305
2000,41,4513298
2000,42,4522455
2000,43,4476856
2000,44,4309077
2000,45,4335271
2000,46,4155176
2000,47,4025331
2000,48,3898395
2000,49,3805354
2000,50,3800059
2000,51,3663455
2000,52,3637919
2000,53,3816136
2000,54,2861878
2000,55,2854393
2000,56,2817330
2000,57,2913690
2000,58,2580483
2000,59,2400041
2000,60,2337902
2000,61,2230218
2000,62,2190359
2000,63,2069449
2000,64,2035201
2000,65,2039337
2000,66,1876784
2000,67,1882892
2000,68,1867764
2000,69,1857132
2000,70,1884298
2000,71,1788317
2000,72,1781935
2000,73,1735378
2000,74,1670100
2000,75,1649707
2000,76,1568457
2000,77,1472736
2000,78,1417670
2000,79,1330049
2000,80,1229253
2000,81,1066141
2000,82,1002304
2000,83,884002
2000,84,802840
2000,85,4262472
2001,0,4012658
2001,1,3855407
2001,2,3800096
2001,3,3802710
2001,4,3827346
2001,5,3910033
2001,6,3972508
2001,7,4012049
2001,8,4099542
2001,9,4179230
2001,10,4277249
2001,11,4344913
2001,12,4183955
2001,13,4113191
2001,14,4059370
2001,15,4083878
2001,16,4108304
2001,17,4028736
2001,18,4102851
2001,19,4132515
2001,20,4156725
2001,21,4133311
2001,22,3919316
2001,23,3798554
2001,24,3749380
2001,25,3659719
2001,26,3768152
2001,27,3668700
2001,28,3766129
2001,29,3956647
2001,30,4218260
2001,31,4302689
2001,32,4082902
2001,33,4014912
2001,34,4033412
2001,35,4161140
2001,36,4457678
2001,37,4534648
2001,38,4529329
2001,39,4553123
