Year,Age,Population
2011,0,3963092
2011,1,3966225
2011,2,3970654
2011,3,4101644
2011,4,4121488
2011,5,4087054
2011,6,4074531
2011,7,4082821
2011,8,4052773
2011,9,4035319
2011,10,4135275
2011,11,4197127
2011,12,4125724
2011,13,4123811
2011,14,4130861
2011,15,4158280
2011,16,4246693
2011,17,4334153
2011,18,4402553
2011,19,4528776
2011,20,4621569
2011,21,4623059
2011,22,4441899
2011,23,4339493
2011,24,4268731
2011,25,4293201
2011,26,4334784
2011,27,4201557
2011,28,4274718
2011,29,4281294
2011,30,4240128
2011,31,4330942
2011,32,4066045
2011,33,3988604
2011,34,3952443
2011,35,3839412
2011,36,3963585
2011,37,3843596
2011,38,3908373
2011,39,4090156
2011,40,4331830
2011,41,4391847
2011,42,4166213
2011,43,4083617
2011,44,4093108
2011,45,4175247
2011,46,4432891
2011,47,4521772
2011,48,4524916
2011,49,4521755
2011,50,4583688
2011,51,4628793
2011,52,4479931
2011,53,4459663
2011,54,4416697
2011,55,4264302
2011,56,4233587
2011,57,4066766
2011,58,3919127
2011,59,3774016
2011,60,3664993
2011,61,3586421
2011,62,3487772
2011,63,3459699
2011,64,3612805
2011,65,2674388
2011,66,2644949
2011,67,2585082
2011,68,2652967
2011,69,2320909
2011,70,2128978
2011,71,2022302
2011,72,1911768
2011,73,1839617
2011,74,1705176
2011,75,1638392
2011,76,1581264
2011,77,1430846
2011,78,1394624
2011,79,1343872
2011,80,1292555
2011,81,1252415
2011,82,1143567
2011,83,1084658
2011,84,1004493
2011,85,5697193
2012,0,3926570
2012,1,3977549
2012,2,3978925
2012,3,3981531
2012,4,4111490
2012,5,4131049
2012,6,4096631
2012,7,4084175
2012,8,4092559
2012,9,4062726
2012,10,4045445
2012,11,4145724
2012,12,4207661
2012,13,4136128
2012,14,4134787
2012,15,4143157
2012,16,4173509
2012,17,4267049
2012,18,4359301
2012,19,4435933
2012,20,4563791
2012,21,4651870
2012,22,4648659
2012,23,4465541
2012,24,4362797
2012,25,4291008
2012,26,4313561
2012,27,4353898
2012,28,4219514
2012,29,4291345
2012,30,4295470
2012,31,4252446
2012,32,4341586
2012,33,4074758
2012,34,3996745
2012,35,3959325
2012,36,3844839
2012,37,3967693
2012,38,3846473
2012,39,3909552
2012,40,4089814
2012,41,4329277
2012,42,4387979
2012,43,4161366
2012,44,4078325
2012,45,4086535
2012,46,4166855
2012,47,4422720
2012,48,4509365
2012,49,4510837
2012,50,4505947
2012,51,4565529
2012,52,4608603
2012,53,4458560
2012,54,4436928
2012,55,4392067
2012,56,4238628
2012,57,4206553
2012,58,4039061
2012,59,3890600
2012,60,3744246
2012,61,3634166
2012,62,3554196
2012,63,3453482
2012,64,3422786
2012,65,3571867
2012,66,2641359
2012,67,2609571
2012,68,2546536
2012,69,2610071
2012,70,2280469
2012,71,2089040
2012,72,1980767
2012,73,1868543
2012,74,1793992
2012,75,1658787
2012,76,1589317
2012,77,1529111
2012,78,1378596
2012,79,1338588
2012,80,1283870
2012,81,1228453
2012,82,1183563
2012,83,1073199
2012,84,1010027
2012,85,5864637
2013,0,3931258
2013,1,3942698
2013,2,3991740
2013,3,3991017
2013,4,3992502
2013,5,4121876
2013,6,4141126
2013,7,4106756
2013,8,4094513
2013,9,4103052
2013,10,4072970
2013,11,4055819
2013,12,4156241
2013,13,4218277
2013,14,4147583
2013,15,4147812
2013,16,4159227
2013,17,4194235
2013,18,4292947
2013,19,4392454
2013,20,4469149
2013,21,4592550
2013,22,4679626
2013,23,4674763
2013,24,4490132
2013,25,4386017
2013,26,4312988
2013,27,4334518
2013,28,4372680
2013,29,4237543
2013,30,4307666
2013,31,4308989
2013,32,4264248
2013,33,4351532
2013,34,4083019
2013,35,4004135
2013,36,3964997
2013,37,3849555
2013,38,3970957
2013,39,3848556
2013,40,3909959
2013,41,4088909
2013,42,4326331
2013,43,4383207
2013,44,4156033
2013,45,4071606
2013,46,4078448
2013,47,4157591
2013,48,4410990
2013,49,4495585
2013,50,4494828
2013,51,4487603
2013,52,4545107
2013,53,4586819
2013,54,4435577
2013,55,4411789
2013,56,4364824
2013,57,4210694
2013,58,4177039
2013,59,4008618
2013,60,3859215
2013,61,3711844
2013,62,3600440
2013,63,3518778
2013,64,3415754
2013,65,3382530
2013,66,3527156
2013,67,2605415
2013,68,2571021
2013,69,2504738
2013,70,2563695
2013,71,2236694
2013,72,2045286
2013,73,1935198
2013,74,1821131
2013,75,1744077
2013,76,1607991
2013,77,1535682
2013,78,1472207
2013,79,1321640
2013,80,1277561
2013,81,1218793
2013,82,1159110
2013,83,1109098
2013,84,997485
2013,85,5992947
2014,0,3954787
2014,1,3948891
2014,2,3958711
2014,3,4005928
2014,4,4004032
2014,5,4004576
2014,6,4133372
2014,7,4152666
2014,8,4118349
2014,9,4106068
2014,10,4114558
2014,11,4084457
2014,12,4067187
2014,13,4168095
2014,14,4231353
2014,15,4162828
2014,16,4165925
2014,17,4181942
2014,18,4222592
2014,19,4329031
2014,20,4427368
2014,21,4498624
2014,22,4622085
2014,23,4709730
2014,24,4703320
2014,25,4516811
2014,26,4411291
2014,27,4337859
2014,28,4357590
2014,29,4393865
2014,30,4257530
2014,31,4324479
2014,32,4323378
2014,33,4276687
2014,34,4362127
2014,35,4091671
2014,36,4011327
2014,37,3971013
2014,38,3854642
2014,39,3974856
2014,40,3850666
2014,41,3910303
2014,42,4087760
2014,43,4323045
2014,44,4378611
2014,45,4150056
2014,46,4064381
2014,47,4070370
2014,48,4147346
2014,49,4398379
2014,50,4480263
2014,51,4477094
2014,52,4468346
2014,53,4523709
2014,54,4563579
2014,55,4410720
2014,56,4384662
2014,57,4336101
2014,58,4180995
2014,59,4145963
2014,60,3976447
2014,61,3825728
2014,62,3677412
2014,63,3564602
2014,64,3481800
2014,65,3376670
2014,66,3340649
2014,67,3480104
2014,68,2567511
2014,69,2530460
2014,70,2461426
2014,71,2516392
2014,72,2191642
2014,73,2000102
2014,74,1888141
2014,75,1772432
2014,76,1692960
2014,77,1555971
2014,78,1480735
2014,79,1414010
2014,80,1263540
2014,81,1215634
2014,82,1152926
2014,83,1089054
2014,84,1034418
2014,85,6132239
2015,0,3983981
2015,1,3973133
2015,2,3966321
2015,3,3974351
2015,4,4020292
2015,5,4017589
2015,6,4017388
2015,7,4145872
2015,8,4165033
2015,9,4130887
2015,10,4118721
2015,11,4126769
2015,12,4096602
2015,13,4080092
2015,14,4182193
2015,15,4247757
2015,16,4181741
2015,17,4189330
2015,18,4211551
2015,19,4258892
2015,20,4363171
2015,21,4456653
2015,22,4528897
2015,23,4653780
2015,24,4741154
2015,25,4733238
2015,26,4545868
2015,27,4439776
2015,28,4364817
2015,29,4382652
2015,30,4416901
2015,31,4278378
2015,32,4342708
2015,33,4339541
2015,34,4291169
2015,35,4373998
2015,36,4101083
2015,37,4019634
2015,38,3977622
2015,39,3860152
2015,40,3978238
2015,41,3853177
2015,42,3911087
2015,43,4086682
2015,44,4320190
2015,45,4373333
2015,46,4143545
2015,47,4056884
2015,48,4061103
2015,49,4136154
2015,50,4384008
2015,51,4463329
2015,52,4458678
2015,53,4448015
2015,54,4500937
2015,55,4538641
2015,56,4383958
2015,57,4355938
2015,58,4305542
2015,59,4149513
2015,60,4112777
2015,61,3941775
2015,62,3790014
2015,63,3640431
2015,64,3526297
2015,65,3441926
2015,66,3334811
2015,67,3295666
2015,68,3429944
2015,69,2526801
2015,70,2486399
2015,71,2414320
2015,72,2463978
2015,73,2141464
2015,74,1949879
2015,75,1836120
2015,76,1718677
2015,77,1636506
2015,78,1498661
2015,79,1420466
2015,80,1350324
2015,81,1200209
2015,82,1148098
2015,83,1081183
2015,84,1013458
2015,85,6261880
2016,0,3954773
2016,1,4002903
2016,2,3991349
2016,3,3982984
2016,4,3989750
2016,5,4035033
2016,6,4031568
2016,7,4030888
2016,8,4158848
2016,9,4177895
2016,10,4144184
2016,11,4131742
2016,12,4139869
2016,13,4110551
2016,14,4094975
2016,15,4199089
2016,16,4267129
2016,17,4205885
2016,18,4219260
2016,19,4246504
2016,20,4290822
2016,21,4391444
2016,22,4486099
2016,23,4560231
2016,24,4684184
2016,25,4771357
2016,26,4762350
2016,27,4574519
2016,28,4467038
2016,29,4390227
2016,30,4406010
2016,31,4437472
2016,32,4297419
2016,33,4360193
2016,34,4354983
2016,35,4303722
2016,36,4383721
2016,37,4108930
2016,38,4026413
2016,39,3983250
2016,40,3864101
2016,41,3980948
2016,42,3854654
2016,43,3910520
2016,44,4084848
2016,45,4315444
2016,46,4366901
2016,47,4136270
2016,48,4047928
2016,49,4050475
2016,50,4122949
2016,51,4368242
2016,52,4445429
2016,53,4438466
2016,54,4425582
2016,55,4475776
2016,56,4511717
2016,57,4355420
2016,58,4325408
2016,59,4272796
2016,60,4115546
2016,61,4076923
2016,62,3904802
2016,63,3751736
2016,64,3600496
2016,65,3485374
2016,66,3399710
2016,67,3290367
2016,68,3248029
2016,69,3376173
2016,70,2483369
2016,71,2440774
2016,72,2365831
2016,73,2409821
2016,74,2089859
2016,75,1898266
2016,76,1782609
2016,77,1663500
