Year,Age,Population
1950,0,3162567
1950,1,3299863
1950,2,3450042
1950,3,3771883
1950,4,2725600
1950,5,2714560
1950,6,2755636
1950,7,2932959
1950,8,2569056
1950,9,2402326
1950,10,2325360
1950,11,2292510
1950,12,2265018
1950,13,2166039
1950,14,2163732
1950,15,2132602
1950,16,2055407
1950,17,2091956
1950,18,2164344
1950,19,2231096
1950,20,2258243
1950,21,2293186
1950,22,2324914
1950,23,2391008
1950,24,2413041
1950,25,2437842
1950,26,2494150
1950,27,2515690
1950,28,2455939
1950,29,2457975
1950,30,2416372
1950,31,2350474
1950,32,2296579
1950,33,2305591
1950,34,2305161
1950,35,2296670
1950,36,2302269
1950,37,2286825
1950,38,2257573
1950,39,2203312
1950,40,2146026
1950,41,2108459
1950,42,2061284
1950,43,2010872
1950,44,1963179
1950,45,1920595
1950,46,1861858
1950,47,1823655
1950,48,1792824
1950,49,1743067
1950,50,1730428
1950,51,1705308
1950,52,1668072
1950,53,1623091
1950,54,1584046
1950,55,1544901
1950,56,1499706
1950,57,1456723
1950,58,1419461
1950,59,1372293
1950,60,1308533
1950,61,1261628
1950,62,1219039
1950,63,1176591
1950,64,1137232
1950,65,1102643
1950,66,1068359
1950,67,1025449
1950,68,959546
1950,69,892792
1950,70,820399
1950,71,748822
1950,72,678081
1950,73,624363
1950,74,572323
1950,75,526042
1950,76,475302
1950,77,427724
1950,78,384529
1950,79,341701
1950,80,301331
1950,81,264897
1950,82,228777
1950,83,197083
1950,84,167401
1950,85,589612
1951,0,3315027
1951,1,3306360
1951,2,3458209
1951,3,3495214
1951,4,3758637
1951,5,2673394
1951,6,2720557
1951,7,2777810
1951,8,2919475
1951,9,2576394
1951,10,2447996
1951,11,2324584
1951,12,2294245
1951,13,2263382
1951,14,2169776
1951,15,2110824
1951,16,2155565
1951,17,2062072
1951,18,2085366
1951,19,2143533
1951,20,2226752
1951,21,2285116
1951,22,2258475
1951,23,2384385
1951,24,2397456
1951,25,2382044
1951,26,2485281
1951,27,2550054
1951,28,2388417
1951,29,2489071
1951,30,2501511
1951,31,2406926
1951,32,2296222
1951,33,2346510
1951,34,2343344
1951,35,2301006
1951,36,2318955
1951,37,2308762
1951,38,2294968
1951,39,2238493
1951,40,2152206
1951,41,2137402
1951,42,2107882
1951,43,2053470
1951,44,2000532
1951,45,1973176
1951,46,1896650
1951,47,1865352
1951,48,1846607
1951,49,1731205
1951,50,1739683
1951,51,1736590
1951,52,1685405
1951,53,1616865
1951,54,1585288
1951,55,1562796
1951,56,1513994
1951,57,1473791
1951,58,1466950
1951,59,1431170
1951,60,1327936
1951,61,1283071
1951,62,1259031
1951,63,1210922
1951,64,1155186
1951,65,1122337
1951,66,1094587
1951,67,1061328
1951,68,984827
1951,69,925655
1951,70,849494
1951,71,776796
1951,72,694919
1951,73,644857
1951,74,586650
1951,75,547875
1951,76,495619
1951,77,443320
1951,78,401306
1951,79,355965
1951,80,310899
1951,81,274292
1951,82,233122
1951,83,200470
1951,84,170539
1951,85,627704
1952,0,3429237
1952,1,3450008
1952,2,3447304
1952,3,3497803
1952,4,3487906
1952,5,3697873
1952,6,2678521
1952,7,2743435
1952,8,2764331
1952,9,2926644
1952,10,2623103
