Year,Age,Population
1980,0,3559857
1980,1,3315535
1980,2,3210169
1980,3,3238099
1980,4,3127524
1980,5,3179868
1980,6,3110507
1980,7,3247691
1980,8,3328772
1980,9,3735515
1980,10,3729085
1980,11,3604713
1980,12,3526994
1980,13,3626046
1980,14,3749497
1980,15,3998828
1980,16,4170006
1980,17,4226453
1980,18,4244663
1980,19,4525422
1980,20,4424063
1980,21,4346975
1980,22,4315203
1980,23,4305761
1980,24,4197947
1980,25,4159474
1980,26,4043432
1980,27,3972566
1980,28,3719108
1980,29,3897914
1980,30,3734297
1980,31,3648503
1980,32,3649482
1980,33,3872734
1980,34,2905408
1980,35,2912088
1980,36,2896083
1980,37,3065784
1980,38,2645778
1980,39,2600768
1980,40,2494329
1980,41,2375234
1980,42,2351810
1980,43,2265006
1980,44,2260419
1980,45,2210602
1980,46,2178678
1980,47,2210352
1980,48,2148060
1980,49,2305722
1980,50,2343195
1980,51,2291831
1980,52,2345746
1980,53,2349002
1980,54,2366179
1980,55,2368700
1980,56,2338575
1980,57,2326955
1980,58,2301312
1980,59,2276010
1980,60,2183165
1980,61,2083512
1980,62,2001102
1980,63,1951935
1980,64,1922964
1980,65,1903573
1980,66,1819049
1980,67,1770190
1980,68,1686029
1980,69,1630638
1980,70,1526318
1980,71,1448682
1980,72,1378688
1980,73,1270301
1980,74,1217246
1980,75,1125614
1980,76,1042364
1980,77,962627
1980,78,886038
1980,79,813189
1980,80,727858
1980,81,644883
1980,82,570588
1980,83,531612
1980,84,480338
1980,85,2271631
1981,0,3607440
1981,1,3436005
1981,2,3314474
1981,3,3260929
1981,4,3273871
1981,5,3128726
1981,6,3185857
1981,7,3165379
1981,8,3140834
1981,9,3439325
1981,10,3807110
1981,11,3690985
1981,12,3598921
1981,13,3553599
1981,14,3649792
1981,15,3783568
1981,16,4000951
1981,17,4175026
1981,18,4185612
1981,19,4450193
1981,20,4512140
1981,21,4350246
1981,22,4317075
1981,23,4323805
1981,24,4366201
1981,25,4228286
1981,26,4138839
1981,27,4086104
1981,28,3819683
1981,29,4002003
1981,30,3874300
1981,31,3653375
1981,32,3673856
1981,33,3608346
1981,34,3988445
1981,35,2870532
1981,36,2872223
1981,37,2908235
1981,38,2984468
1981,39,2772659
1981,40,2604475
1981,41,2402226
1981,42,2386227
1981,43,2368321
1981,44,2285017
1981,45,2217970
1981,46,2249607
1981,47,2202992
1981,48,2081145
1981,49,2238215
1981,50,2307915
1981,51,2271879
1981,52,2285010
1981,53,2361706
1981,54,2369302
1981,55,2298634
1981,56,2340506
1981,57,2373849
1981,58,2223853
1981,59,2317764
1981,60,2268026
1981,61,2129650
1981,62,1989414
1981,63,2001880
1981,64,1970439
1981,65,1905065
1981,66,1829337
1981,67,1791763
1981,68,1708596
1981,69,1663222
1981,70,1558336
1981,71,1481231
1981,72,1404413
1981,73,1300022
1981,74,1247885
1981,75,1157454
1981,76,1070941
1981,77,989587
1981,78,907298
1981,79,832891
1981,80,744184
1981,81,660778
1981,82,585872
1981,83,542091
1981,84,490656
1981,85,2349175
1982,0,3643570
1982,1,3489139
1982,2,3436728
1982,3,3361224
1982,4,3297168
1982,5,3273883
1982,6,3133165
1982,7,3235675
1982,8,3057900
1982,9,3257322
1982,10,3499586
1982,11,3763436
1982,12,3682678
1982,13,3623857
1982,14,3575021
1982,15,3681408
1982,16,3787043
1982,17,4014498
1982,18,4136299
1982,19,4394509
1982,20,4437574
1982,21,4438298
1982,22,4313981
1982,23,4322079
1982,24,4389974
1982,25,4389718
1982,26,4207530
1982,27,4180055
1982,28,3921489
1982,29,4116853
1982,30,3968729
1982,31,3786311
1982,32,3675442
1982,33,3632438
1982,34,3718572
1982,35,3934119
1982,36,2829813
1982,37,2884829
1982,38,2819689
1982,39,3143897
1982,40,2766917
1982,41,2512231
1982,42,2411332
1982,43,2397549
1982,44,2394912
1982,45,2242318
1982,46,2245280
1982,47,2273073
1982,48,2075803
1982,49,2180308
1982,50,2233220
1982,51,2235338
1982,52,2263706
1982,53,2299880
1982,54,2382878
1982,55,2301221
1982,56,2276609
1982,57,2372675
1982,58,2261946
1982,59,2250318
1982,60,2303185
1982,61,2211966
1982,62,2041127
1982,63,1990180
1982,64,2020883
1982,65,1947325
1982,66,1835044
1982,67,1805188
1982,68,1725417
1982,69,1690499
1982,70,1590722
1982,71,1513441
1982,72,1431028
1982,73,1330449
1982,74,1278787
1982,75,1189359
1982,76,1100369
1982,77,1018976
1982,78,933574
1982,79,854848
1982,80,763730
1982,81,679188
1982,82,603825
1982,83,556727
1982,84,502278
1982,85,2436707
1983,0,3649184
1983,1,3530264
1983,2,3490553
1983,3,3478505
1983,4,3398377
1983,5,3295766
1983,6,3275929
1983,7,3176388
1983,8,3122449
1983,9,3182719
1983,10,3308761
1983,11,3456456
1983,12,3753786
1983,13,3706645
1983,14,3642878
1983,15,3604276
1983,16,3685509
1983,17,3807720
1983,18,3977774
1983,19,4351633
1983,20,4382767
1983,21,4365479
1983,22,4390953
1983,23,4313397
1983,24,4391206
1983,25,4406371
1983,26,4367456
1983,27,4246928
1983,28,4004099
1983,29,4234631
1983,30,4074316
1983,31,3877136
1983,32,3805478
1983,33,3636205
1983,34,3744173
1983,35,3672103
1983,36,3870290
1983,37,2845036
1983,38,2786425
1983,39,2992129
1983,40,3125546
1983,41,2673925
1983,42,2521128
1983,43,2418034
1983,44,2431483
1983,45,2350476
1983,46,2258898
1983,47,2268619
1983,48,2142170
1983,49,2186228
1983,50,2168421
1983,51,2161166
1983,52,2226504
1983,53,2277735
1983,54,2321937
1983,55,2313467
1983,56,2285209
1983,57,2304871
1983,58,2254109
1983,59,2299496
1983,60,2230503
1983,61,2245161
1983,62,2128916
1983,63,2040799
1983,64,2009583
1983,65,1990231
1983,66,1879733
1983,67,1813691
1983,68,1732946
1983,69,1710148
1983,70,1616223
1983,71,1544709
1983,72,1455774
1983,73,1360692
1983,74,1309289
1983,75,1219737
1983,76,1128408
1983,77,1047820
1983,78,960419
1983,79,880784
1983,80,782522
1983,81,699217
1983,82,622642
1983,83,570844
1983,84,516409
1983,85,2518435
1984,0,3571901
1984,1,3543520
1984,2,3534437
1984,3,3527196
1984,4,3517851
1984,5,3397284
1984,6,3297294
1984,7,3315974
1984,8,3064081
1984,9,3263292
1984,10,3229060
1984,11,3266693
1984,12,3449276
1984,13,3779052
1984,14,3726194
1984,15,3672874
1984,16,3611198
1984,17,3715524
1984,18,3773908
1984,19,4194642
1984,20,4342038
1984,21,4314910
1984,22,4311841
1984,23,4382836
1984,24,4385783
1984,25,4400246
1984,26,4384066
1984,27,4404574
1984,28,4061211
1984,29,4334171
1984,30,4183427
1984,31,3979009
1984,32,3894523
1984,33,3767633
1984,34,3750958
1984,35,3699241
1984,36,3611913
1984,37,3889147
1984,38,2741485
1984,39,2977319
1984,40,2965515
1984,41,3026309
1984,42,2682836
1984,43,2523368
1984,44,2458281
1984,45,2386431
1984,46,2356748
1984,47,2281918
1984,48,2139178
1984,49,2270298
1984,50,2168984
1984,51,2096882
1984,52,2151619
1984,53,2239972
1984,54,2300443
1984,55,2253489
1984,56,2303123
1984,57,2310428
1984,58,2182492
1984,59,2302232
1984,60,2272148
1984,61,2172238
1984,62,2169528
1984,63,2128612
1984,64,2060131
1984,65,1973045
1984,66,1923108
1984,67,1861062
1984,68,1736303
1984,69,1720868
1984,70,1634566
1984,71,1568973
1984,72,1479114
1984,73,1389518
1984,74,1340032
1984,75,1250315
1984,76,1154191
1984,77,1075430
1984,78,986823
1984,79,907254
1984,80,806129
1984,81,718086
1984,82,643113
1984,83,585654
1984,84,529282
1984,85,2594641
1985,0,3678641
1985,1,3476794
1985,2,3551533
1985,3,3566160
